feature,importance
parC_S80I,0.19478634107120657
gyrA_D87N,0.1565059277245561
gyrA_S83L,0.12748080266928868
parC_E84V,0.06826639707731755
ptsI_V25I,0.032593796874324094
parE_I529L,0.031125727626028117
uhpT_E350Q,0.02628401357322922
parE_S458A,0.021454562806906472
mph(A),0.019857035868922658
tet(A),0.018344052255860162
blaCTX-M-15,0.016494702628469124
catB3,0.014873933146690957
aac(6')-Ib-cr5,0.014766020916299014
qacEdelta1,0.014133889289211998
aac(3)-IId,0.012096832904416495
blaOXA-1,0.012057810689444321
sul1,0.011052212535478822
aadA5,0.010211272465049905
dfrA17,0.009644978775772639
blaTEM-1,0.008945919743456042
pmrB_E123D,0.008499461949666833
parE_L416F,0.007615575026870657
blaOXA-48,0.0076088765328984585
aac(3)-IIe,0.007229242346098839
sul2,0.006991201335459836
aph(3'')-Ib,0.006792537130120405
ampC_C-11T,0.0060943855839595135
cyaA_S352T,0.005959107715648511
aph(6)-Id,0.005807826348409786
marR_S3N,0.005247657627242111
glpT_E448K,0.004869714771098294
pmrB_Y358N,0.004238368849488025
aadA22,0.00417608779659853
dfrA14,0.0040175108926310986
tet(B),0.00371770205683852
dfrA1,0.0035027654366995213
parC_E84K,0.003478744170987568
qnrB,0.0032929809625167686
rpoB_Q148L,0.0031561798352197344
qnrS1,0.0030514983535579396
dfrA12,0.003042133677005867
catA1,0.0027694943051082767
aadA2,0.002664577741612471
aadA1,0.0026258037775752996
blaCTX-M-27,0.0025871772429071956
blaLAP-2,0.0025106626028914294
gyrA_D87Y,0.0024292685054221157
parE_I355T,0.0022788208233621514
ampC_C-42T,0.0021755548105144395
ampC_T-14TGT,0.0019747123408338694
blaTEM,0.0019566983115283927
ble,0.0019241844257131037
parE_L445H,0.0019225117844139722
floR,0.0019158788685287318
lnu(F),0.001748068755201203
soxR_G121D,0.001681789910082374
tet(M),0.001566055850048619
blaCTX-M-14,0.0014665995943303931
dfrA36,0.0014552811529665057
ampC_T-32A,0.0013601985877940842
sat2,0.0013530033778178453
blaNDM-5,0.001301422650568039
qnrB1,0.0012709525575627172
blaSHV-12,0.0012247294438267446
aadA3,0.0011663888943647944
parC_E84G,0.0011653728335409765
qnrS13,0.001164605825874553
sul3,0.0011566382739401212
dfrA5,0.0011082137632738589
blaCTX-M-9,0.00104597541834206
aph(3')-Ia,0.0009095923653772843
parE_S458T,0.0008560262851639655
ant(2'')-Ia,0.0008463739812961303
qacL,0.0007349753592718354
gyrA_S83A,0.000698925272105782
parE_D475E,0.0006717403095205481
dfrA7,0.0005871854280618948
parC_S80R,0.000563970507768607
erm(B),0.0005451479000637335
cmlA1,0.000543762649913146
basR_S39I,0.0005435580122752185
blaCMY-2,0.0005393589699558038
parC_A56T,0.0005232904178449139
blaCMY-42,0.00048757574876815996
ftsI_N337NYRIN,0.0004633876888956141
acrR_R45C,0.00046264140862316543
ftsI_I336IKYRI,0.00043280460939818373
blaCTX-M,0.00038709482000805147
qacE,0.00038363841619048757
gyrA_D87G,0.0003665334792677153
oqxB,0.0003613551193887901
parC_S57T,0.0003590462308412961
blaIMP-1,0.0003481663374361436
blaOXA,0.0003158543570809094
parE_E460K,0.0003077544668390946
blaOXA-181,0.00028230942352660307
blaTEM-30,0.0002766133881563931
qnrB19,0.00026946563898062507
oqxA,0.00026216180447792396
fosA,0.0002576308398989355
dfrA19,0.0002522332170663821
cmlA6,0.00024749070585335765
blaOXA-244,0.00024108671749184957
aac(6')-Ib4,0.00023127894439107236
mph(B),0.0002156694644771404
blaCTX-M-1,0.0002041330316366139
blaCTX-M-3,0.00020410395342663115
blaOXA-2,0.00020227802785496824
catA,0.00019782645982801235
tet(J),0.00018516557564565543
blaNDM-1,0.0001748189329720239
arr,0.0001693381084757728
tet(D),0.00015015198908356338
catA2,0.0001442478983843531
blaDHA-1,0.00014040260065636373
aph(4)-Ia,0.00012324393747202103
blaCTX-M-55,0.00011283444645989946
blaKPC-2,0.00010616339993526876
qnrA1,0.00010011640816087618
aac(3)-IVa,9.797108253025871e-05
blaTEM-40,9.570547356932489e-05
ere(A),9.129338626746956e-05
dfrA8,8.517959126035733e-05
aac(6')-IIc,8.428299643818224e-05
soxS_A12S,8.304220894258195e-05
blaTEM-31,8.136882837247001e-05
aph(3')-IIa,7.555273002202014e-05
pmrB_V161G,7.392147615664027e-05
rmtB1,7.224349354514049e-05
dfrA29,7.067848693778616e-05
blaSHV-1,5.7065619261630266e-05
qnrB4,5.3575225514936804e-05
blaTEM-135,5.322336907291016e-05
nfsA_G131D,4.96974312627238e-05
qacF,4.9072414155047734e-05
blaVIM-4,4.608652268334794e-05
blaCTX-M-8,4.119915188658631e-05
aac(3)-IIg,3.962515728454501e-05
marR_E31STOP,3.527236755748139e-05
aac(6')-Ib3,3.4207802947279866e-05
blaTEM-33,3.128517039632966e-05
rpoB_V146F,3.0785520952863995e-05
dfrA16,2.9458967482310874e-05
arr-3,2.8551935560440884e-05
blaTEM-176,2.5190253245851055e-05
gyrA_S83I,2.157447366322749e-05
rpoB_S531F,2.0007061484658144e-05
blaACT-17,1.870505464354702e-05
blaCARB-2,1.7342413328376958e-05
fosA3,1.3669019098186358e-05
blaACT-15,1.2034910147446003e-05
blaCTX-M-65,1.1614088831761226e-05
aac(6')-If,9.370654664290633e-06
blaCMY,9.015415831370455e-06
folP_P64S,6.607739119049405e-06
nfsA_Q44STOP,6.355693969109782e-06
blaCMY-145,5.258378431743111e-06
blaMIR-3,2.1149400449241293e-06
blaACT,2.009503997750441e-06
nfsA_S33R,1.7829092323452044e-06
qepA8,4.455364491550034e-08
blaACT-16,6.243677649409978e-19
parC_A108T,0.0
blaSHV,0.0
marR_V45E,0.0
qnrS2,0.0
blaTEM-29,0.0
blaNDM,0.0
nfsA_K141STOP,0.0
blaOXA-10,0.0
aph(3')-VI,0.0
rmtB,0.0
aac(6')-Il,0.0
nfsA_R203C,0.0
blaVIM-1,0.0
smr,0.0
gyrA_S83V,0.0
blaVIM,0.0
blaOXA-484,0.0
blaOXA-519,0.0
aac(6')-Ib-cr,0.0
blaTEM-35,0.0
